cliente_key,nome,genero,data_nascimento,cidade,estado,data_cadastro,dw_record_hash,dw_valid_from,dw_valid_to,dw_is_current,cliente_sk,_gold_airflow_run_id,_gold_processed_at
9883,Valentina Santos,Outro,1988-12-04,Rios,MA,2025-07-22,ab53465efc25e7889f9b774f9d9e2887b65b5214fe223cd19d9514ffb65a2477,1900-01-01,9999-12-31 23:59:59,True,72e172e69b8b960a6c1dae72d2596ae8d7e2235114e369d0fe27b9a943f877ca,manual_run_1,2026-06-24 00:59:33.548
6515,Mariana Ramos,Outro,1987-01-08,Vargas Grande,AC,2024-06-14,c8ac84a1adea8fc00a0b233f810444edab1cea3ab0beddf0fbd42721b3af435b,1900-01-01,9999-12-31 23:59:59,True,bb78160ddae77ad75ab91e7627b890d107967c3f1cb3679f087dae5442dba57e,manual_run_1,2026-06-24 00:59:33.548
14993,Alícia Marques,M,1955-05-21,Freitas,AM,2025-05-29,1b6d33c6c1c84043024c996c290fa297f81ecbaf5a362401c1d489a9e77d462a,1900-01-01,9999-12-31 23:59:59,True,04ba5c5d04f57cc0513135914d61bfda97da7d0b69aad3c9d2bb11a1a5a321e7,manual_run_1,2026-06-24 00:59:33.548
11634,Mariah Ramos,F,1978-01-05,Porto,RJ,2025-10-19,b53ef9352bbb5742af8397ae1c420e040f79ae44dc6aaa63a41bce424e966d32,1900-01-01,9999-12-31 23:59:59,True,9f152379a920feccb7dc0ce324b1b07145b6ec769d7e905c0c493248c1859371,manual_run_1,2026-06-24 00:59:33.548
8198,Aurora Cardoso,F,1955-03-20,Gomes de Cavalcante,RO,2023-01-19,6d43ec4b3b3a1067ff87abae123b47d7ee570b898bac14617292b248a93c5bf5,1900-01-01,9999-12-31 23:59:59,True,83ca32766a8880df5bee90fc05d9190111f17f5879603893600590d14eea63b9,manual_run_1,2026-06-24 00:59:33.548
2357,Samuel Pastor,M,1960-09-21,Siqueira das Pedras,MS,2023-08-19,d3eb740f613d6fbe170399098351ad6a25b53511a9ac598cc9ed1f9aecc0e36d,1900-01-01,9999-12-31 23:59:59,True,95e4f998d67b23ed45989366410b38a7f4be146c18051579b5df0557dddf792b,manual_run_1,2026-06-24 00:59:33.548
11508,Brayan Leão,M,1981-10-06,Santos,RS,2024-09-30,6a36db8256676ec92da6d4f9dee9156f05459f1776b35674fef85b6e7e12abbc,1900-01-01,9999-12-31 23:59:59,True,c55de8a10f6d1203711a4e4249fb521e3cba864f083126efdf82a10b4061737b,manual_run_1,2026-06-24 00:59:33.548
8379,Yan Rodrigues,F,1965-10-29,da Conceição do Campo,PI,2024-07-02,34e3063ac00a9a2b1b527079782c502842cf107aa0f53093effda2cacf1ab2f8,1900-01-01,9999-12-31 23:59:59,True,5b5b69f464ff930c87bf3d3e818c8dcbb18c1ab1ebb9200d181499ee928d6f9b,manual_run_1,2026-06-24 00:59:33.548
12708,Maria Cecília Pacheco,Outro,1962-09-25,Fogaça,MS,2025-01-02,2eaab011d2110753e23a3c2ba83b99a386a06bc5eeaaa9879ea2a0733ed9c5c1,1900-01-01,9999-12-31 23:59:59,True,a0ca5a53668d3a8f6c6151bc60bd3aebd5f3157e8d1dde509630de0b816990ac,manual_run_1,2026-06-24 00:59:33.548
2920,Benjamin Fonseca,F,1952-11-03,Gonçalves,MS,2025-05-15,881b1ce8fcff7e34314db0310f12022e45895471f7505f453fd2c21448e11a7a,1900-01-01,9999-12-31 23:59:59,True,2669a526eaed54e530df100ae0b33b23175bf68345dfc8d544c43e6865209778,manual_run_1,2026-06-24 00:59:33.548
