id_cliente,nome,email,cpf,telefone,data_nascimento,genero,logradouro,cidade,estado,cep,data_cadastro,updated_at
1,Brenda Alves,samuel32@example.net,189.430.652-05,+55 31 8908-3863,1976-06-30,Outro,"Esplanada Sampaio, 55",Cunha,GO,11615-594,2023-08-17T00:00:00,2023-10-07T00:00:00
2,Raul Nascimento,garciaemanuel@example.net,453.806.179-48,+55 31 1647-5255,1962-08-05,M,"Viela de Ramos, 3",Castro,SC,64835-030,2024-05-16T00:00:00,2024-12-30T00:00:00
3,Dr. João Felipe Azevedo,ana-vitoriacunha@example.net,769.128.453-55,0800 696 5328,1979-01-25,Outro,"Condomínio Cassiano, 26",Garcia dos Dourados,PA,80184-514,2023-07-29T00:00:00,2024-01-23T00:00:00
4,Eduarda Marques,silveiravinicius@example.net,281.659.703-21,+55 (031) 8809-5701,2004-04-30,M,"Feira Danilo da Costa, 811",Teixeira,DF,27824896,2023-03-07T00:00:00,2023-05-07T00:00:00
5,Vitor Hugo Sá,ana-liviaguerra@example.net,578.019.643-57,0900 839 3010,1963-09-21,Outro,Campo Olívia da Costa,Rios do Amparo,AC,82997376,2024-04-21T00:00:00,2025-09-20T00:00:00
6,Calebe Brito,bfogaca@example.com,701.832.654-08,+55 (071) 8726-2473,2001-02-28,Outro,Sítio Gael Henrique Aragão,Borges,RS,26773602,2026-02-23T00:00:00,2026-03-20T00:00:00
7,Agatha Gomes,maria46@example.net,872.196.053-40,(051) 0097 8820,2006-03-03,M,Campo Peixoto,Rocha,PB,61939909,2026-01-21T00:00:00,2026-05-08T00:00:00
8,Otto Ribeiro,vicente35@example.org,462.587.310-07,+55 (021) 7991 1838,1965-10-28,M,"Feira Freitas, 82",Pimenta do Galho,SP,84124118,2026-04-21T00:00:00,2026-05-08T00:00:00
9,João Gabriel da Paz,carolinecostela@example.net,487.205.319-23,+55 (011) 5242 7868,1951-01-01,F,Distrito de Nogueira,Freitas,MT,62045053,2023-11-23T00:00:00,2025-11-06T00:00:00
10,Isadora Rios,fogacajoana@example.net,239.618.045-24,81 3421 6073,1962-01-06,M,"Lagoa Rafael Câmara, 4",Farias Paulista,SP,45868501,2024-07-23T00:00:00,2024-12-29T00:00:00
11,Felipe Pacheco,breno19@example.com,596.470.328-38,+55 61 0608-8356,1954-07-02,M,"Vale Ana Sophia Ribeiro, 5",Rios das Pedras,MG,64823-662,2024-11-20T00:00:00,2025-03-04T00:00:00
